INI20030780	INI20030780_baseline	INI20030780_LIVER
1.3356933478261	-0.0216568	0.0180812
1.16689379608452	-0.115331	-0.113996
0.970778917158225	0.0792124	0.0564404
0.933737645477876	-0.0708339	-0.0845104
1.22023977678981	0.0591672	0.0509197
1.09158767373115	-0.0736766	-0.119476
0.894862784460535	0.0261318	0.0330652
1.34602046198195	0.0825061	0.041492
0.618962282370569	-0.012601	0.0300165
1.64093657949347	-0.0226929	-0.0431483
1.25219137659641	0.0255322	0.0321253
1.13365763041091	-0.0538485	-0.0805422
0.856540727468381	-0.107316	-0.0914878
1.05674808456941	-0.0725366	-0.101613
1.35531955682046	0.0552024	0.0716253
1.3180155203666	0.00663444	0.00934202
0.85526603003638	-0.0687684	-0.0724526
0.817133160340936	-0.114246	-0.0845125
1.42921940583692	-0.0350096	-0.0744645
1.03282854812211	0.0346005	0.0357189
1.48885094944498	-0.099023	-0.0825692
1.47940915036078	-0.13004	-0.142626
1.34103545471428	0.0828146	0.106636
1.3777580300976	-0.0722411	-0.112579
0.947401726899208	-0.0461724	-0.0716284
1.29527496273272	0.0236451	-0.0093366
0.95743267520533	-0.065318	-0.0643196
1.27256559579155	-0.0107283	-0.0373868
1.03140353897466	-0.0648155	-0.0266874
0.862467925176649	0.0478368	0.0585325
1.25047463797736	-0.00424849	8.01524e-05
1.44832975203934	0.00364717	0.0251957
0.985070247268981	-0.194964	-0.171267
1.15820438587036	-0.0468045	-0.0537798
1.0719260234056	-0.170788	-0.199836
1.11645220679644	0.0470515	0.0498918
1.00576573830176	0.0165727	-0.016224
1.12102588350501	0.00681356	-0.000184791
0.816249377693929	-0.126045	-0.120909
1.4080558529014	0.0150955	-0.00796572
0.869618323675724	-0.01016	0.00569138
1.97574468361119	0.0733483	0.0698661
1.35763765187009	0.0143258	-0.00328348
1.33789162189172	0.0889081	0.0362226
1.4655675420144	-0.0343327	-0.016037
0.960498986538475	-0.086988	-0.0864136
1.0153154290829	-0.0629943	-0.0759518
1.92117054287956	0.0470444	0.0681026
1.72161723237765	0.0296288	0.0306246
1.25561603747777	-0.0499157	-0.040221
0.880041599199034	-0.0319299	-0.0611036
1.12330490125848	-0.089231	-0.092432
1.52453340534366	-0.0600464	-0.0715481
1.40976671730503	-0.0251546	-0.0508097
1.28259912478113	0.0109049	-0.0218043
0.909870164071232	-0.0156132	0.00981815
1.30616831664061	-0.0317797	0.0184769
0.827678073517551	0.00339521	-0.0186466
1.29088417631523	-0.0186478	-0.0115476
1.31076229850745	-0.0710865	-0.0699086
0.975691075155603	-0.0345369	-0.0803421
0.600483495696526	-0.041727	-0.0406225
1.2011688769932	-0.0949403	-0.0976089
1.22817749302275	0.069146	0.0572833
1.5673358592221	-0.00526583	0.0202894
1.17865499634165	-0.0229743	0.0103248
0.999298001751233	-0.0342727	-0.0306986
1.27843071524395	-0.0288997	-0.00977097
1.69566925818293	-0.0312787	-0.0379145
0.903813210363042	-0.0761857	-0.0930777
1.22823742632557	-0.0235745	-0.050949
1.18814825397896	-0.0275315	-0.0785065
1.10831168575682	-0.164357	-0.197326
1.16315080980568	0.0177995	0.0227589
1.42767619889866	-0.0812194	-0.05364
1.07670745328006	0.057952	0.0696073
0.744790413711784	0.0554677	0.0382379
1.26044765125392	-0.1683	-0.156885
1.08316018410919	0.0258742	0.038109
0.943905898907128	-0.0569847	-0.0602312
1.32734021827622	-0.0731621	-0.0594352
1.23663358656548	-0.0454933	-0.0455418
1.3704190119616	-0.178916	-0.187114
0.988425329633354	-0.0472899	-0.0703773
0.643956936369174	0.0736157	0.0647537
1.46533656845984	0.0935864	0.088892
1.21964928371094	0.104166	0.103312
1.05883141865627	-0.175019	-0.14752
1.10426296017692	-0.0661502	-0.0972225
1.18478998490916	-0.0241411	-0.0113284
1.20567136096152	0.0815319	0.0420936
0.992881334035868	0.0060613	-0.000993408
1.60738903128416	0.075405	0.0425612
1.23022517547	0.0807004	0.0755801
1.08586471584561	-0.0827536	-0.0991432
1.09927873321127	-0.137101	-0.154924
1.53017823144847	-0.104216	-0.103929
1.09460426727057	-0.0227377	-0.0669569
0.920282753143692	-0.0667352	-0.0651405
1.43532259218725	0.027363	-0.00682537
1.07772907775169	-0.174597	-0.163286
1.61541998411165	-0.0253021	-0.0722668
1.12102588350501	0.0668158	0.0668481
1.01414313204166	-0.0708588	-0.119573
1.07942946925134	-0.0891965	-0.0904446
1.26722925396095	0.0163346	-0.00413909
1.20353411162313	-0.118699	-0.127207
1.14930540298363	0.0206473	0.00192467
1.04696805551577	-0.0478167	-0.0365487
1.29363067625647	-0.0699364	-0.0627955
1.05779029414785	0.0466202	0.0245487
1.00320210386345	0.032723	0.048257
0.988425329633354	-0.0790646	-0.0956335
1.11906829723549	-0.0274276	-0.0563852
1.11612471375274	0.0299604	0.0539412
1.22759166992457	-0.156383	-0.15698
1.79467917933139	0.0255314	0.0144358
1.33368441084759	0.125328	0.139401
0.708381425131793	0.0329143	0.0058207
1.16938135955632	-0.109842	-0.128622
1.90171467626419	0.0321812	-0.0290905
0.979183162105057	-0.0554274	-0.0728068
1.45931245385646	-0.100463	-0.0858349
1.40216771027618	-0.104774	-0.103851
1.33867850717823	-0.0749243	-0.0897922
1.36634672331019	-0.00518641	-0.0185476
1.13638871447607	0.077236	0.0857784
1.44856468684602	0.0457805	0.0299616
1.25526609871349	0.0533922	0.0499178
0.783901543828409	-0.00717267	-0.00373233
1.62963261971962	-0.108553	-0.0830499
1.11696142733631	-0.0332989	-0.0711183
1.21223854874297	0.00814566	0.0128955
0.570417720968236	-0.136382	-0.161642
1.09125193426182	-0.148219	-0.15821
0.997317570516529	-0.140123	-0.134267
1.34416943481922	-0.0929697	-0.123631
1.38103053144479	-0.0327364	-0.036572
1.29800944625232	0.00471177	0.0176157
1.09158767373115	-0.111692	-0.106652
1.05605267424931	0.0168525	-0.0302604
1.38804283165401	0.0136708	0.0337923
1.27116405386626	0.00866216	0.0161118
1.13121345004351	0.0552003	0.066596
1.23721413810574	-0.0637596	-0.0579222
0.87510317346754	0.0584827	0.0263301
0.96088161520203	-0.0303901	-0.00999763
0.968883181993326	0.113696	0.118727
1.4395981331422	0.0180193	0.00120173
0.919086819176156	-0.0335848	-0.0267257
1.57173604525009	0.0897244	0.1028
1.46566207720519	0.0621545	0.055403
1.0232289496736	0.0492905	0.0523768
1.29882833533861	-0.105223	-0.0783
0.893226792275604	-0.130048	-0.128139
1.19392246847243	-0.0600612	-0.0955637
1.11939482785064	-0.0472589	-0.0281653
1.326809714285	-0.0332738	-0.0713986
1.06849666476349	0.0436276	0.060578
1.2507609658247	-0.0122269	0.0192645
0.997686370078149	-0.0608245	-0.0750303
1.24097952995503	-0.0604814	-0.0772516
1.25988043626423	0.0296934	0.0189554
1.12590314890401	0.0185329	0.00726651
1.25476097115804	-0.00958776	-0.00303935
1.51622553071192	0.00597452	-0.0164231
0.916290731874155	0.0518674	0.0360136
1.43758765550744	0.0215498	-0.002259
1.14231014393383	0.0551994	0.0559255
1.58678322186929	-0.0332533	-0.0198782
0.867520567504726	-0.0567953	-0.0499514
1.10658045831729	0.0125209	-0.0170966
1.42142016309526	0.0643901	0.0553383
0.890767774643069	-0.159774	-0.160358
1.58096623835279	-0.0226733	-0.0136687
0.857389623953994	-0.0857066	-0.0829663
1.35196168203939	-0.0695819	-0.022703
1.26044765125392	0.125094	0.135031
1.42359014586359	-0.0242181	-0.062177
1.87427325532401	0.0550164	0.0703483
0.685618914139154	-0.0554629	-0.113305
1.37008177314207	-0.0414966	-0.0136388
1.2447307967981	-0.137577	-0.134792
1.03567248889424	-0.1491	-0.173007
1.26919858924364	-0.0721771	-0.106327
1.40093663785676	0.0659225	0.108621
1.36251383245449	-0.062551	-0.112156
1.05117121406797	-0.00101988	-0.000769032
1.31748004511953	-0.0135641	-0.0205595
1.46764390681621	0.140469	0.148093
1.0681530811834	0.00460065	-0.0105099
1.24184645675402	0.00204675	-0.0100469
0.595534351692945	0.0576188	0.108794
1.53824965038371	-0.0688343	-0.0720933
1.49559709601034	-0.0870535	-0.0948905
0.95743267520533	-0.105284	-0.126005
0.766419381666271	-0.0602483	-0.0692728
1.13301371538544	-0.0362315	-0.00829658
0.701611258972075	0.0629538	0.043891
0.810485672977179	-0.119333	-0.11261
0.874217955452247	0.0809881	0.0643911
1.06712162157674	-0.0319444	-0.0257528
1.06608909696255	-0.0225023	0.0263804
1.17649882732518	-0.0244648	-0.0257773
1.70402055492005	0.103004	0.120462
0.0889262091944015	-0.0788863	-0.114923
1.22230376101066	0.0610595	0.052058
0.907855253053054	-0.221713	-0.229052
1.1622128700777	-0.198739	-0.189421
1.00246842811521	-0.0399604	-0.0601145
1.48659208243525	0.0400676	0.0204479
0.794800834286445	0.0306862	0.0232095
0.982827255674399	-0.0839709	-0.11371
0.486737828236901	-0.0603075	-0.0621999
1.20731720557633	0.00197423	-0.0396559
0.921079248605952	-0.202111	-0.153081
1.30454185924763	-0.0506129	-0.0587983
1.91386496676891	0.0304558	0.0400741
1.34859249393588	0.028466	0.0278948
1.14326692920854	-0.0893558	-0.0983142
1.41098697371026	-0.0411637	-0.0288078
1.14422279992016	-0.0371962	-0.0700251
1.52274546384775	-0.0457035	-0.0649914
1.24588220740315	-0.0232317	-0.0741535
1.24226528653624	-0.102126	-0.0859008
1.02029032189264	-0.0483861	-0.0271143
0.541160823562064	-0.107523	-0.132014
0.978633862448291	0.0580095	0.0413958
1.28813011233266	-0.0748384	-0.099733
0.42853038103916	0.00409266	-0.036371
1.18875763851946	-0.0708296	-0.10178
1.02209115076037	-0.0378192	-0.0519353
0.95743267520533	0.0362108	0.033102
1.50252063008802	-0.0703184	-0.0675393
1.20925880875517	0.000764582	-0.0177802
1.18814825397896	-0.104848	-0.117098
1.13365763041091	0.0134377	0.00558883
1.24395233881321	-0.128521	-0.147312
1.08755134130868	-0.00547505	-0.0224928
1.09470603370104	-0.117263	-0.126499
1.0602179006808	-0.101305	-0.0739249
1.59817472015539	0.0183381	0.000333576
1.39401448413503	-0.0574635	-0.106634
1.03247248616356	0.0182938	0.0574503
1.11185751541813	0.0197965	0.000739819
1.18417817699776	-0.0121652	-0.00886149
1.1049256507247	0.00916361	0.0159038
1.04837107223136	-0.079443	-0.0442824
1.45931245385646	0.10799	0.127481
1.52815174192251	-0.177037	-0.207527
1.43936108205658	-0.00117396	-0.0133806
1.3180155203666	0.0091347	-0.0301367
1.13107947880561	-0.0235476	-0.065797
1.49470023496368	-0.0531313	-0.012895
1.03602741347649	-0.126484	-0.118373
1.77512182807503	0.0620437	0.0666917
1.17495585525544	-0.0225651	-0.0174546
1.18784342239605	-0.143773	-0.122757
1.51622553071192	0.0572751	0.047734
1.11054085953338	-0.0483737	-0.0439273
0.740962210571171	-0.0569735	-0.0745085
0.750472247179215	-0.111417	-0.0929349
1.35892316432376	0.0269035	-0.000143442
0.808978996085067	-0.130292	-0.104473
1.34129699518916	0.0353199	0.00482514
1.05883141865627	0.0430002	0.0278298
0.838977628771485	0.0449675	0.0228934
1.16627093714192	-0.0319982	-0.0607296
1.21134555865535	-0.00153862	0.0443061
