INI1003063	INI1003063_baseline	INI1003063_LUNG
0.809734513274336	-0.00737821	-0.0224068
0.787781350482315	-0.00179477	-0.0168302
0.378016085790885	-0.0153237	-0.0226291
0.805447470817121	-0.00439195	-0.0190228
0.840625	-0.00618833	-0.0182094
0.854460093896714	-0.0345248	-0.0412512
0.824267782426778	-0.00319008	-0.0125774
0.772093023255814	-0.0176175	-0.0301457
0.826254826254827	-0.0190994	-0.0240469
0.757575252786061	-0.00812227	-0.028572
0.763066202090592	-0.0410257	-0.0567471
0.723404255319149	-0.0153029	-0.0328596
0.848998790930321	-0.0120882	-0.024403
0.889733840304183	0.00250281	-0.00421907
0.861028568449588	0.00321717	-0.00910181
0.730445846905537	-0.0196326	-0.0322714
0.8	-0.00595344	-0.0169909
0.646376811594203	-0.0218834	-0.03307
0.798076923076923	-0.0092691	-0.0242378
0.733333333333333	-0.000934511	-0.0250384
0.812630721173435	-0.0148311	-0.0220867
0.754491017964072	-0.0259778	-0.0311141
0.68859649122807	0.00833025	-0.0117363
0.703846153846154	0.0121157	0.00145906
0.814516129032258	-0.00428796	-0.011186
0.950704225352113	-0.0262706	-0.0471773
0.927953890489914	-0.010807	-0.0222816
0.851851851851852	0.00802382	-0.00650929
0.764556962025316	-0.0103897	-0.0186337
0.835365853658537	0.0176487	-0.0076039
0.822857142857143	-0.0155657	-0.0298629
0.778393351800554	0.00519652	-0.00532613
0.797297297297297	-0.00501885	-0.0306617
0.763239875389408	-0.000702768	-0.0161294
0.785185185185185	-0.00242344	-0.0135735
0.775725593667546	-0.0160489	-0.0317809
0.795081967213115	-0.00192348	-0.0166842
0.7578125	-0.00745335	-0.0184211
0.754237288135593	-0.021846	-0.0291065
0.721273291925466	-0.00236325	-0.0098697
0.814102564102564	0.0147831	-0.00719996
0.804123711340206	-0.0100161	-0.0221067
0.734194964998478	-0.0094793	-0.0172683
0.889655172413793	0.00588949	-0.0106437
0.783582089552239	-0.0277862	-0.0395384
0.780645161290323	0.00262344	-0.0118731
0.813656603619429	-0.0123953	-0.0214432
0.75	0.0022977	-0.0131533
0.788679245283019	-0.0100041	-0.0167113
0.778523489932886	-0.0224022	-0.0337353
0.771014492753623	-0.023753	-0.0300082
0.808764940239044	-0.0397616	-0.0667859
0.8	-0.0277543	-0.0205856
0.816831683168317	-0.0112487	-0.0259714
0.782758620689655	0.0149384	-0.00185773
0.824375139789756	-0.0154637	-0.0320578
0.743801652892562	-0.00928732	-0.0129148
0.588235294117647	-0.0359259	-0.0578306
0.757326878187948	-0.0144675	-0.0148088
0.828081167966911	-0.00523014	-0.0258986
0.846846846846847	0.00661891	-0.0069002
0.778443113772455	-0.0113309	-0.02197
0.720089397752169	-0.0394106	-0.0600554
0.789285714285714	-0.0124513	-0.0221651
0.840764331210191	-0.0126626	-0.033534
0.780701754385965	-0.0135782	-0.0166408
0.709484228473998	-0.0225893	-0.0268253
0.827814569536424	-0.00789049	-0.0144515
0.806693851523695	-0.00358342	-0.0161117
0.778661059018202	-0.0203922	-0.0423207
0.817949782112471	-0.00306967	-0.0104885
0.732009095773141	-0.0324492	-0.0500908
0.621409921671018	-0.017434	-0.0289931
0.826086956521739	-0.0226423	-0.042231
0.715867158671587	0.00244364	-0.00714056
0.759717314487633	-0.0278169	-0.0481122
0.8375	-0.0451097	-0.0489763
0.80418011563154	-0.00954464	-0.0133004
0.802597402597403	0.000663053	-0.0136426
0.756880733944954	-0.0171153	-0.0344499
0.780748663101604	-0.0152228	-0.0404777
0.892430278884462	-0.0151747	-0.0272913
0.745	-0.020973	-0.0284204
0.652892561983471	-0.0231383	-0.0290315
0.62111801242236	-0.0128731	-0.028418
0.770449983271997	0.0173687	0.0100357
0.811735941320293	-0.0276485	-0.0433663
0.777777777777778	0.0314377	0.0128186
0.789634146341463	-0.0273635	-0.0247768
0.74869109947644	0.00916613	-0.00408403
0.783375314861461	-0.0309199	-0.0388866
0.804232804232804	-0.0251554	-0.0443436
0.793911007025761	-0.00333098	-0.0243197
0.771551724137931	-0.0301749	-0.0320134
0.736842105263158	-0.0221686	-0.0281561
0.829349222206365	-0.00420707	-0.0174015
0.73015873015873	-0.00774318	-0.0310714
0.82966540438688	-0.0190355	-0.0390044
0.724361332515839	-0.0100527	-0.0154198
0.729452054794521	-0.0571269	-0.0624544
0.742603550295858	-0.00339228	-0.0251879
0.761702127659575	0.00850865	-0.00789626
0.807478559176673	0.0162558	-0.00244342
0.738292011019284	-0.0248114	-0.0440004
0.833333333333333	-0.0215775	-0.0365786
0.507874015748032	0.00110267	-0.010038
0.692307692307692	-0.0233492	-0.0293896
0.739520958083832	-0.0134813	-0.0280294
0.975274725274725	0.00899833	-0.00199261
0.856115107913669	0.00490976	-0.00956892
0.884551164215686	-0.0013721	-0.0174548
0.793565683646113	-0.0236058	-0.0407633
0.839041095890411	-0.032536	-0.0501126
0.749235474006116	-0.0315593	-0.031512
0.836734693877551	0.000673251	-0.0251986
0.834888054512585	0.0152599	0.00328581
0.751131221719457	-0.0179227	-0.0345834
0.822134387351779	0.00612074	-0.0142385
0.744548286604362	-0.0309696	-0.0451246
0.553398058252427	-0.0388458	-0.0545264
0.807017543859649	-0.012426	-0.0188224
0.791970802919708	-0.0234462	-0.0352327
0.749003984063745	-0.0284548	-0.0365036
0.819327731092437	-0.0136222	-0.0360742
0.784461152882205	-0.0120658	-0.0211819
0.730406386066763	-0.0149021	-0.0301781
0.7624750499002	-0.0012799	-0.0164921
0.548936170212766	-0.0231357	-0.0317978
0.804469273743017	-0.00884931	-0.0205147
0.781472684085511	-0.031681	-0.037408
0.756410256410257	-0.00805883	-0.0214584
0.768194070080863	-0.0331454	-0.0582254
1.0	-0.00750291	-0.0287172
0.782608695652174	-0.0536157	-0.0560655
0.748878923766816	-0.0300305	-0.0535585
0.849829351535836	-0.0296424	-0.0346973
0.844262295081967	-0.00459488	-0.0169523
0.755020080321285	-0.0076679	-0.0207703
0.733333333333333	-0.0191116	-0.0262486
0.783938107627003	-0.0242559	-0.0369866
0.861635220125786	-0.000373916	-0.0123539
0.817661089834039	0.023923	0.0146587
0.872760146804836	-0.00970403	-0.0305766
0.785340314136126	-0.00577853	-0.00935319
0.866920152091255	-0.000452402	-0.0126463
0.72	-0.000412194	-0.0153826
0.73982683982684	-0.0310809	-0.0389143
0.813559322033898	-0.0130798	-0.0341681
0.836708442059613	-0.0124843	-0.0379324
0.80188679245283	0.0141786	0.00305959
0.749495026006161	-0.0398878	-0.0512421
0.640569062249533	-0.0157667	-0.0294998
