INI50030700	INI50030700_baseline	INI50030700_KIDNEY
4.14807994406983	0.00378394	-0.0395636
4.72670660471923	-0.0209153	-0.0886414
4.23566616934666	-0.116153	-0.149739
4.67003318897848	-0.00319775	-0.0405358
4.58368319255055	-0.0608516	-0.0902245
4.66283242170041	-0.0174012	-0.0714885
4.2290520262629	-0.118319	-0.15517
4.62451265324657	-0.0259528	-0.0573767
4.67230307859425	-0.0606538	-0.106658
4.4728970324028	-0.12854	-0.170942
4.52839401205025	-0.0600316	-0.0731564
4.49339714071142	-0.149921	-0.176189
4.51485760833908	-0.0241266	-0.0563095
4.62451986006096	-0.126934	-0.130812
4.61933981264996	-0.0338082	-0.031311
4.44512008781335	-0.0678861	-0.116096
4.4916454329996	-0.0973579	-0.132047
4.64995724154148	-0.00652623	-0.0162929
4.62352717104428	-0.124356	-0.179293
4.64591402983599	-0.0584097	-0.112761
4.61394218015604	-0.073411	-0.0952131
4.0140124166029	-0.0657325	-0.11521
4.21294399926291	-0.0210716	-0.0590629
4.26418363008775	-0.0884428	-0.139164
3.93249459551213	-0.0879763	-0.131517
4.40302830471286	-0.132394	-0.200952
4.16714974807351	-0.123749	-0.18491
4.44977704362476	-0.0174976	-0.0906152
4.34878919542917	-0.0850159	-0.117794
4.56258839059543	-0.0752254	-0.106414
4.61493536398499	-0.0498766	-0.0972221
3.85601762812209	-0.0123865	-0.0570346
4.56753397099795	-0.0717042	-0.104512
4.35226234483554	-0.039043	-0.109409
4.59759711463256	-0.0578391	-0.103561
4.3530938986394	-0.00374617	-0.063699
4.63884756794511	-0.0403065	-0.0648348
4.65051608216367	-0.0565768	-0.122358
4.26176172315597	0.0091532	-0.0368655
4.83386472768938	-0.0484433	-0.0748044
4.61948835072667	-0.0739972	-0.105755
4.56419682491724	-0.0530321	-0.103319
4.60051812290018	-0.108535	-0.136973
4.76011580066456	-0.0447577	-0.112754
4.75927223913272	0.0119271	-0.0385706
4.48724661139154	-0.0141576	-0.0377914
4.52257746504949	-0.015844	-0.075248
4.67216589594195	-0.0933582	-0.138566
4.54827380117385	-0.0711507	-0.105151
4.64759882443735	-0.0593029	-0.0798061
4.57239689495532	-0.0411901	-0.0779202
4.3906140752911	-0.0894091	-0.111722
4.7071586306618	-0.030191	-0.0644115
4.62637828541801	-0.0593982	-0.085774
4.82247069734383	-0.0434493	-0.110529
4.33342100275877	-0.0693742	-0.0771452
4.37247781606844	-0.0209907	-0.0545684
4.38348226446919	-0.0770513	-0.102303
4.03155112532714	-0.0381644	-0.0691895
4.74438286981859	-0.0232394	-0.0607257
4.8355505645849	-0.0636851	-0.0937298
4.70178525121253	0.000872546	-0.0366624
4.16025283600406	-0.0916377	-0.139926
4.78813438903144	-0.00542267	-0.0551038
4.81076482766227	-0.0441093	-0.0684646
4.68727451542175	-0.080108	-0.136453
4.41298148325978	-0.0753525	-0.117286
4.48031976937305	-0.0643573	-0.103924
4.64615350068836	0.00934686	-0.069549
4.46814848484542	-0.116601	-0.151887
4.49251822914516	-0.0639449	-0.0790097
4.20415443643477	-0.00999983	-0.0496293
4.60856328459131	-0.0959964	-0.154032
4.69992895881085	-0.0800255	-0.127704
4.2547310247608	-0.0806591	-0.122268
4.65812158505311	-0.0304542	-0.0630868
4.29486388855872	-0.0824673	-0.145965
4.37139150228299	-0.086715	-0.111074
4.56655664249017	-0.00350393	-0.0344498
4.12538769843489	-0.088913	-0.163508
4.58583550405159	-0.0642317	-0.127637
4.42814449610875	-0.0687735	-0.0782698
4.7209126065704	-0.0264412	-0.0834492
4.3652846837662	-0.0461403	-0.0865838
4.46583218162285	-0.000453821	-0.0542877
4.40286120975114	0.0154456	-0.0102228
4.42597132727844	-0.0759762	-0.0911663
4.59102876186041	0.0101338	-0.0313309
4.71181744188663	-0.0667116	-0.0913626
4.36563816886294	-0.0553184	-0.0980342
4.58172610979271	-0.048261	-0.0786512
4.70326453306064	-0.021591	-0.0866951
4.56819906443224	-0.123695	-0.12719
4.65731174371536	-0.0457865	-0.0683496
4.73927110188205	-0.038413	-0.0894464
4.43558327714793	-0.0933636	-0.135974
4.01772730944508	-0.12439	-0.156925
4.52120090212311	-0.0556466	-0.0879236
4.40590764639953	-0.0505361	-0.0862032
4.68887584810087	-0.0580601	-0.104808
4.70271186132709	-0.00197359	-0.0543777
4.7198674881939	-0.0160224	-0.0475802
4.65128488327928	-0.116872	-0.138978
4.56560227944866	-0.0802105	-0.118642
4.42930501740488	-0.0984146	-0.14317
4.45066660774036	-0.127468	-0.163476
4.23231767215793	-0.0103411	-0.0360818
4.73079978217871	-0.00675796	-0.0410227
4.65274694685422	-0.109687	-0.119557
3.54747003016454	-0.05911	-0.119823
4.49040088685991	0.0112754	-0.027868
3.90843048482974	-0.086646	-0.135069
4.42762617073025	-0.0672106	-0.116235
4.64425817924124	-0.0750147	-0.122041
4.44924088984423	-0.071608	-0.111424
4.54566514453519	-0.0116506	-0.0258486
4.52434442273909	-0.0524714	-0.0928599
4.48210800594776	-0.110464	-0.152939
4.80223762784882	-0.0491284	-0.103014
4.83114714470173	-0.0284736	-0.0426614
4.74242845272884	-0.0756867	-0.0931408
4.76523483362002	0.0526651	0.00211421
4.06386411672249	-0.0452343	-0.0588971
3.79214607802411	-0.00410511	-0.0848035
4.70527280601737	-0.0379569	-0.0792953
4.58918941325878	0.0162803	-0.00946427
4.70537634709922	0.0166948	-0.0258817
4.56717989536176	-0.0950993	-0.164581
4.75312237912697	-0.0248355	-0.0811327
4.42724660976184	-0.0223748	-0.0706755
4.55869634473388	-0.0801747	-0.122293
4.35318630133193	-0.0810724	-0.0936494
4.41642098930357	-0.0536734	-0.0842626
4.73478737156064	-0.114224	-0.139801
4.54737012282816	-0.00553897	-0.0454949
4.60612946388047	-0.00403932	-0.0333112
4.73079060564052	-0.0970541	-0.121169
4.31726304953773	-0.0806907	-0.100143
4.65135868289345	-0.0272522	-0.0842262
4.20389539284575	-0.0695567	-0.107781
4.3162026554239	-0.0343067	-0.10718
4.70161755993352	-0.0230341	-0.0707573
4.24545770211539	-0.0695183	-0.103529
4.50954334903686	-0.0180055	-0.0520375
4.25689683269885	-0.0930213	-0.161849
4.59747074771013	-0.0331331	-0.076071
4.28538882345763	0.0126544	-0.0391498
4.79439173794915	-0.0681665	-0.107468
4.16648588875137	0.00266965	-0.0317165
4.69616312367538	-0.0563632	-0.0733968
4.53182590304636	-0.0832504	-0.135016
4.5672614343341	-0.0837811	-0.0975286
4.28921317119551	-0.126992	-0.160376
4.41579407563446	0.0427817	0.0163018
4.39886763042901	-0.032857	-0.0789753
4.63170967838892	-0.0327376	-0.0621745
4.61019520862338	-0.100044	-0.12626
4.42011754475321	-0.0792709	-0.143099
4.73488052745163	-0.0363305	-0.0801168
4.77076967757324	-0.076585	-0.132379
4.38142680264561	-0.040166	-0.0749575
4.41027894054041	-0.0845813	-0.11842
4.74194663573182	-0.0996458	-0.143817
4.76367967981489	-0.0695163	-0.101558
4.39400973685927	-0.170027	-0.195831
4.65008879857923	-0.130406	-0.156257
4.5539722302979	-0.0238735	-0.0720625
4.69410892202433	-0.00292928	-0.0588157
4.68222281790609	-0.0727708	-0.113893
4.41639578718135	-0.0226484	-0.070656
4.4145367828765	0.0407893	-0.0137709
4.63215983814547	-0.0218341	-0.0882402
4.75987899124168	-0.068542	-0.120004
4.65129471959879	-0.0350968	-0.0762168
4.74908876191145	0.016282	-0.0315776
4.63632648609916	-0.0409278	-0.0283897
4.47816222572295	-0.074815	-0.134562
4.61421444236597	-0.0900823	-0.115583
4.50655567305158	-0.082265	-0.125381
4.66813460620323	-0.018804	-0.0283256
4.60624061230772	-0.0706555	-0.112809
4.54792030772598	-0.0112938	-0.0818174
4.00089166481573	-0.0728199	-0.122779
4.74329350709043	-0.0622802	-0.115621
4.17360777665538	-0.0135154	-0.0450691
4.59518353740111	-0.105319	-0.141391
4.48256357355556	-0.0640794	-0.0840608
4.82843059588565	-0.036844	-0.0930974
4.29048113075626	-0.0394904	-0.0870146
4.70633365507965	0.00665209	-0.047643
4.24266782073723	-0.0406914	-0.0615574
4.59570255636908	-0.0622123	-0.0894317
4.3650214355094	-0.137466	-0.178865
4.71844760684533	-0.0651502	-0.10267
4.75375027683112	-0.0447902	-0.0844631
4.32543006869823	-0.0587123	-0.106997
4.65204404158176	0.0146721	-0.0282418
4.60253267006977	-0.0809764	-0.114974
4.53459653697797	0.0136209	-0.0620925
4.68651233420559	-0.0939481	-0.123832
4.48680140379505	-0.130696	-0.151657
4.71779488745121	-0.0284041	-0.048799
4.54342619373043	-0.054651	-0.0717358
4.57256666402996	0.0119334	-0.0210083
4.46932591325855	0.0350281	0.00812425
4.60914221605125	-0.00581451	-0.043993
4.75991248737163	-0.109741	-0.122839
4.55432559914904	-0.0445384	-0.0785565
4.6245842709009	0.000455276	-0.0532929
4.51078767029148	-0.0789163	-0.106182
4.6891956511408	-0.0577924	-0.0469918
4.81811283996509	-0.0871528	-0.13015
4.46029767694462	0.00731074	-0.0193347
